ugov_id,brand_name_tax,TwitterHandle,TwitterHandle2
3001,7UP,@7UP,
1000437,99 Cents Only,@99Only,
30027,A & E,@AETV,
3002,A & W,@AWCanada,
30001,ABC,@ABCNetwork,
10001,Abercrombie & Fitch,@Abercrombie,
22001,Abilify,@Abilify_bio,
1000582,Academy,@Academy,
7001,Acura,@Acura,
1000708,Acuvue,@ACUVUE,
2001,Admiral,@AdmiralGroup,
29001,Adobe,@Adobe,
1001282,Adult Swim,@adultswim,
20001,Advair,NOT AVAILABLE,
32002,Advance Auto Parts,@AdvanceAuto,
21001,Advil,@AdvilRelief,
10002,Aeropostale,@Aeropostale,
25002,Aetna,@Aetna,
25003,Aflac,@aflac,
21002,Afrin,NOT AVAILABLE,
25004,AIG,@AIGinsurance,
1003,Air France,@AirFranceUS,@AirFrance
1002125,Air Optix,NOT AVAILABLE,
1004,AirTran,NOT AVAILABLE,
1005,Alaska Air,@AlaskaAir,
22002,Alavert,NOT AVAILABLE,
1000761,Alcon,NOT AVAILABLE,
22003,Allegra,@AllegraOTC,
25005,Allstate,@Allstate,
1000072,Almay,@AlmayCosmetics,
2002,Amana,@AmanaBrand,
1001266,Amazon Alexa,@alexa99,
1001265,Amazon Echo,@alexa99,
1001267,Amazon Prime,@PrimeVideo,
1001759,Amazon Video,@PrimeVideo,
26001,AMAZON.COM INC,@amazon,@amazonnews
20002,Ambien,NOT AVAILABLE,
31001,AMC,@AMC_TV,
1007,American Airlines,@AmericanAir,
42026,American Apparel,@americanapparel,
10003,American Eagle,@AEO,
27003,American Express,@AmericanExpress,
38001,American Express Travel,@AmericanExpress,
1000685,American Girl,@American_Girl,
1000377,Andaz,@Andaz,
53101,Android,@Android,
1000439,Anheuser-Busch InBev,@abinbev,
31002,Animal Planet,@AnimalPlanet,
9001,Ann Taylor,@AnnTaylor,
1001418,Annie's,@annieshomegrown,
53694,Anthem Blue Cross,@AnthemBCBS,
9002,Anthropologie,@Anthropologie,
26002,AOL,@AOL,
8001,Apple,@Apple,
1001259,Apple Music,@AppleMusic,
16001,Applebee's,@Applebees,
4001,Aquafina,@Aquafina,
53032,Aquafina FlavorSplash,NOT AVAILABLE,
32003,Arco,@arco,
9003,Arden B.,NOT AVAILABLE,
