cik,conm,TwitterHandle,TwitterHandle2
1800,ABBOTT LABORATORIES,@AbbottNews,
1018840,ABERCROMBIE & FITCH  -CL A,@Abercrombie,
796343,ADOBE INC,@AdobeNews,@Adobe
1158449,ADVANCE AUTO PARTS INC,@AdvanceAuto,
1122304,AETNA INC,@AetnaNews,@Aetna
4977,AFLAC INC,@aflac,
1110452,AIR FRANCE - KLM,@AirFranceKLM,
766421,ALASKA AIR GROUP INC,@AlaskaAir,
899051,ALLSTATE CORP,@Allstate,
1652044,ALPHABET INC,@Google,
1702780,ALTICE USA INC,@AlticeUSA,
1018724,AMAZON.COM INC,@amazon,@amazonnews
1514991,AMC NETWORKS INC,@AMC_TV,
6201,AMERICAN AIRLINES GROUP INC,@AmericanAir,
1336545,AMERICAN APPAREL INC,@americanapparel,
4962,AMERICAN EXPRESS CO,@AmericanExpress,
5272,AMERICAN INTERNATIONAL GROUP,@AIGinsurance,
919012,AMERN EAGLE OUTFITTERS INC,@AEO,
318154,AMGEN INC,@Amgen,
50104,ANDEAVOR,@andeavor,@MarathonPetroCo
1668717,ANHEUSER-BUSCH INBEV,@abinbev,
874214,ANN INC,@AnnTaylor,
1156039,ANTHEM INC,@AnthemInc,
1468516,AOL INC,@AOL_inc,@AOL
1411494,APOLLO GLOBAL MGMT INC,@apolloglobal,
320193,APPLE INC,@Apple,
7084,ARCHER-DANIELS-MIDLAND CO,@ADMupdates,
1176948,ARES MANAGEMENT CORP,@ares_management,
1168213,ARO LIQUIDATION INC,@Aeropostale,
1498301,ASCENA RETAIL GROUP INC,NOT AVAILABLE,
901832,ASTRAZENECA PLC,@AstraZeneca,
732717,AT&T INC,@ATT,@ATTNEWS
883948,ATLANTIC UNION BANKSHRS CRP,@Atlantic_Union,
350698,AUTONATION INC,@AutoNation,
866787,AUTOZONE INC,@autozone,
723612,AVIS BUDGET GROUP INC,@AvisInnovation,
8868,AVON PRODUCTS,@AvonInsider,
1278027,B&G FOODS INC,@BG_Foods,
70858,BANK OF AMERICA CORP,@BofA_News,@BankofAmerica
927971,BANK OF MONTREAL,@BMO,global
1390777,BANK OF NEW YORK MELLON CORP,@BNYMellon,
312069,BARCLAYS PLC,@BarclaysCorp,@Barclays
890491,BARNES & NOBLE INC,@BNBuzz,
1021270,BBQ HOLDINGS INC,@Famous_Daves,
789073,BEAM INC,@beamsuntory,
1059272,BEBE STORES INC,@bebe_Stores,
886158,BED BATH & BEYOND INC,@BedBathBeyond,
1067983,BERKSHIRE HATHAWAY,@BHHSRealEstate,
764478,BEST BUY CO INC,@BBYNews,@BestBuy
1156388,BIG 5 SPORTING GOODS CORP,@big5since55,
768835,BIG LOTS INC,@BigLots,
1726173,BIGLARI HOLDINGS INC,NOT AVAILABLE,
1013488,BJ'S RESTAURANTS INC,@bjsrestaurants,
1070235,BLACKBERRY LTD,@BlackBerry,
1364742,BLACKROCK INC,@BlackRock_News,@blackrock
1393818,BLACKSTONE GROUP INC,@blackstone,
1546417,BLOOMIN' BRANDS INC,@BloominBrands,
1701114,BLUE APRON HOLDNG INC,@blueapron,
1609989,BLUE BUFFALO PET PRODUCTS,@bluebuffalo,
33769,BOB EVANS FARMS,@BobEvansFarms,
878079,BON-TON STORES INC,@bonton,
1075531,BOOKING HOLDINGS INC,@BookingHoldings,
949870,BOSTON BEER INC  -CL A,@SamuelAdamsBeer,
313807,BP PLC,@bp_plc,
703351,BRINKER INTL INC,NOT AVAILABLE,
14272,BRISTOL-MYERS SQUIBB CO,@bmsnews,
14693,BROWN FORMAN CORP,@brownforman,""""
885245,BUCKLE INC,@BuckleStore,
1062449,BUFFALO WILD WINGS INC,@BWWings,
1113809,BUILD-A-BEAR WORKSHOP INC,@buildabear,
1579298,BURLINGTON STORES INC,@Burlington,
1267130,CABELAS INC,@Cabelas,
858339,CAESARS ENTERTAINMENT CORP,@CaesarsEnt,
14707,CALERES INC,@caleresinc,
16732,CAMPBELL SOUP CO,@CampbellSoupCo,
16988,CANON INC,@CanonUSA,
927628,CAPITAL ONE FINANCIAL CORP,@CapitalOne,
1332602,CARIBOU COFFEE CO,@cariboucoffee,
1170010,CARMAX INC,@CarMax,
1125259,CARNIVAL CORP/PLC (GBR),@CarnivalPLC,
815097,CARNIVAL CORPORATION & PLC,@CarnivalPLC,
1683606,CARS.COM INC,@carsdotcom,
726958,CASEYS GENERAL STORES INC,@caseysgenstore,
18255,CATO CORP  -CL A,@CatoFashions,
813920,CEC ENTERTAINMENT INC,@ChuckECheese,
811532,CEDAR FAIR  -LP,@cedarpoint,
18926,CENTURYLINK INC,@CenturyLink,
1091667,CHARTER COMMUNICATIONS INC,@GetSpectrum,
830524,CHASE CORP,@Chase_Corp,
887596,CHEESECAKE FACTORY INC,@Cheesecake,
93410,CHEVRON CORP,@Chevron,
897429,CHICOS FAS INC,@Chicos,
1041859,CHILDRENS PLACE INC,@childrensplace,
1058090,CHIPOTLE MEXICAN GRILL INC,@ChipotleTweets,
1046311,CHOICE HOTELS INTL INC,@ChoiceHotels,
883943,CHRISTOPHER & BANKS CORP,@CBanksStyle,
20171,CHUBB CORP,@ChubbNA,
313927,CHURCH & DWIGHT INC,NOT AVAILABLE,
1739940,CIGNA CORP,@Cigna,
1262976,CIMPRESS PLC,@Cimpress,
1318484,CITI TRENDS INC,@CitiTrends,
831001,CITIGROUP INC,@Citi,
759944,CITIZENS FINANCIAL GROUP INC,@CitizensBank,
21076,CLOROX CO/DE,@CloroxCo,
21175,CNA FINANCIAL CORP,@CNA_Insurance,
21344,COCA-COLA CO,@CocaColaCo,
21665,COLGATE-PALMOLIVE CO,@CP_News,
1050797,COLUMBIA SPORTSWEAR CO,@Columbia1938,
1166691,COMCAST CORP,@comcastbusiness,@comcast
28412,COMERICA INC,@ComericaBank,
23217,CONAGRA BRANDS INC,@ConagraBrands,
1223389,CONN'S INC,@ConnsHomePlus,
1163165,CONOCOPHILLIPS,@conocophillips,
711404,COOPER COS INC (THE),@CooperCompany,
24491,COOPER TIRE & RUBBER CO,@CooperTire,
1171014,COSI INC,@get_cosi,
798955,COST PLUS INC,@worldmarket,
909832,COSTCO WHOLESALE CORP,@Costco,
1024305,COTY INC,@COTYInc,
1466538,COWEN INC,@Cowen_Inc,
1067294,CRACKER BARREL OLD CTRY STOR,@CrackerBarrel,
1334036,CROCS INC,@Crocs,
64803,CVS HEALTH CORP,@CVSHealth,
940944,DARDEN RESTAURANTS INC,@darden,
1525769,DAVE & BUSTER'S ENTMT INC,@DaveandBusters,
931336,DEAN FOODS CO,@deanfoods,
910521,DECKERS OUTDOOR CORP,NOT AVAILABLE,
315189,DEERE & CO,@JohnDeere,
1585583,DEL TACO RESTAURANTS INC,@DelTaco,
930309,DELHAIZE GROUP - ETS DLHZ FR,@AholdDelhaize,
1571996,DELL TECHNOLOGIES INC,@DellTech,
27904,DELTA AIR LINES INC,@Delta,
852772,DENNYS CORP,@DennysDiner,
1319947,DESIGNER BRANDS INC,@Designer_Brands,
1393883,DHI GROUP INC,@DHIGroupInc,
835403,DIAGEO PLC,@Diageo_News,
1089063,DICKS SPORTING GOODS INC,@DICKS,
28917,DILLARDS INC  -CL A,@Dillards,
49754,DINE BRANDS GLOBAL INC,@DineCareers,
1465112,DIRECTV,@DIRECTV,
1393612,DISCOVER FINANCIAL SVCS,@Discover,
1437107,DISCOVERY INC,@DiscoveryIncTV,
1001082,DISH NETWORK CORP,@dish,
1744489,DISNEY (WALT) CO,@WaltDisneyCo,
18169,DOLE FOOD CO INC,@DoleTweets,
29534,DOLLAR GENERAL CORP,@DollarGeneral,
935703,DOLLAR TREE INC,@DollarTree,
1286681,DOMINO'S PIZZA INC,@dominos,
1649744,DULUTH HOLDINGS INC,@DuluthTradingCo,
1357204,DUNKIN' BRANDS GROUP INC,@dunkindonuts,
1015780,E TRADE FINANCIAL CORP,@etrade,
1102541,EARTHLINK HOLDINGS CORP,@EarthLink,
31235,EASTMAN KODAK CO,@Kodak,
1065088,EBAY INC,@eBay,@eBayNewsroom
1096752,EDGEWELL PERSONAL CARE CO,NOT AVAILABLE,
1590895,ELDORADO RESORTS INC,@CaesarsEnt,
712515,ELECTRONIC ARTS INC,@EA,
32604,EMERSON ELECTRIC CO,@Emerson_News,
1161154,ENERGY TRANSFER PARTNERS -LP,@EnergyTransfer,
33185,EQUIFAX INC,@Equifax,
832428,EW SCRIPPS  -CL A,@EWScrippsCo,
1324424,EXPEDIA GROUP INC,@ExpediaGroup,
1483510,EXPRESS INC,@express,
34088,EXXON MOBIL CORP,@exxonmobil,
1326801,FACEBOOK INC,@fbnewsroom,@Facebook
1605484,FIAT CHRYSLER AUTOMOBILES NV,@fcagroup,
1331875,FIDELITY NATL FINL FNF GROUP,@Fidelity,
